start|end|text
0.0|11.0| Музыка.
11.0|20.0| 상담사와 연결되었습니다. 어? 여보세요 안녕하세요 이름 말씀드리면 될까요? 네, 말씀해주세요.
20.0|22.0| 네, 이름 말씀드리면 될까요?
22.0|24.0| 네, 생년월일 말씀해주세요.
24.0|26.0| 네, 11월 6일이요.
26.0|28.0| 몇 년생?
28.0|30.0| 01년이요.
30.0|32.0| 25살 신사생 뱅기네? 네. 맞아요.
36.0|38.92| 전체적인 올해 운세 궁금한데
38.92|42.0| 그 중에서 가장 궁금한 게 취업운이랑 학업운이거든요
42.0|44.42| 제가 그래서 일을 그만두고
44.42|47.52| 이제 조금 취업을 위해서 아예 새로운 거를 공부할 건데
47.52|50.0| 이 길이 저한테 맞는지
50.0|52.0| 이게 조금 궁금해서요
52.0|54.0| 어 그러면 새로운
54.0|58.0| 이거니까 이제 한국을 공부하려니 어떤 그... 약간 IT 쪽이에요.
66.0|67.0| 네, 근데 아예 모르는 상태에서 새롭게 아예 공부하는 거라서요.
71.0|76.0| 그래서 이런 거에 대한 약간 되게 겁이 좀 생기고 그리고 이제 또 하고 싶은 게 있는데 글 쓰는 일을 조금 해보고 싶었거든요.
76.0|80.0| 아 니는 글 쓰는 일은 진짜 니가 진미적으로도 해야 된다
80.0|82.0| 아 그래요? 그래서 이게 잘할지
82.0|84.0| 어 니는 글쓰는지는 꼭 해야 된다 잘할 수 있다
84.0|86.0| 어 니는 잘할 수 있어 얼마든지.
86.0|88.0| 업으로 삼을 정도로요?
88.0|90.0| 그런 재능을 가지고 있잖아.
90.0|96.0| 글 쓰는 거. 그래서 이게 취업을 이제 준비하고 공부를 하려고 제대로 하는데
96.0|99.36| 취업을 그 이제 공부가
99.36|101.92| 반년 정도 뒤에 끝나거든요.
102.92|103.98| 이때 취업도
103.98|107.0| 괜찮게 잘할 수 있을까요?
107.0|114.34| 올해는 네가 취업으로 들어와 있다 이보면은 올해는 주문도 들어와 있어야 괜찮아.
115.04|116.26| 아 그래요?
116.78|118.2| 어, 어, 어.
118.72|120.42| 상반기를 가면 쏙 좋고
120.42|126.0| 9월달이 되면 굉장히 너무 좋은 걸 알겠습니다. 아, 네. 제가 이제 공부가 한 10월달쯤에 끝나거든요.
